d_codigo,d_asenta,c_mnpio
22034,Lomas de Agua Caliente 6a Sección (Lomas Altas),4
22034,Jardines de Chapultepec S-E,4
22034,Planetario,4
22034,Cañón Oasis,4
22034,Pueblo Bonito,4
22035,Cañón de La Pedrera,4
22035,Herradura Sur,4
22035,Cañón de La Pedrera Este,4
22035,Cañón Primavera,4
22040,Juárez,4
22040,Madero (Cacho),4
22044,América,4
22044,Dávila,4
22044,Calete,4
22044,Gabilondo,4
22045,Cubillas,4
22045,Cubillas Sur,4
22045,Chula Vista,4
22045,Lomas Doctores (Chapultepec Doctores),4
22046,Madero Sur,4
22046,Guadalajara,4
22046,Monterrey,4
22046,Fundadores,4
22046,Cumbres de Juárez,4
22046,Laderas de Monterrey,4
22050,Castillo,4
22050,Alemán,4
22054,Altamira,4
22054,Roma,4
22054,Linda Vista,4
22055,Altamira Sur,4
22055,Azcona,4
22055,Independencia,4
22055,Guerrero,4
22056,Hidalgo,4
22056,México,4
22056,Morelos,4
22100,Anexa 20 de Noviembre,4
22100,20 de Noviembre,4
22104,Los Españoles,4
22104,El Pedregal,4
22104,Alfonso Corona del Rosal,4
22104,El Pedregal Oeste,4
22104,Los Santos,4
22104,San José del Alto,4
22105,El Prado,4
22105,Ceceña,4
22105,Dimenstein,4
22105,José Sandoval,4
22105,La Mesa,4
22105,López,4
22105,Los Ángeles,4
22105,Santa Cruz,4
22105,Las Lilas,4
22105,Moreno,4
22105,El Prado Este,4
22105,La Mesa Sur,4
22105,López Oeste,4
22106,Santa Rosa,4
22106,Cortez,4
22106,Alcalá,4
22106,Alicia Carrillo,4
22106,Angélica,4
22106,El Paraíso,4
22106,Gerónimo Meza,4
22106,La Escondida,4
22106,Las Palmas,4
22106,López Lucio,4
22106,Luz Juárez,4
22106,Reynoso,4
22106,Jardines de San Carlos,4
22106,Camichin,4
22106,Contreras,4
22106,Gertrudis Green,4
22106,Guillen,4
22106,Leos Montoya,4
22106,Magaña,4
22106,Sonoita,4
22106,Contreras Oeste,4
22106,Gerónimo Meza Este,4
22106,Quinta Alta,4
22106,Reynoso Parcela 162,4
22110,Los Pirules,4
22110,Chapultepec Alamar,4
