"d_codigo";"d_asenta";"fk_c_CP"
21801;"Del Bosque";2002
21802;"Sombrerete";2002
21820;"Rodriguez";2002
21821;"Los Pinos (Silva)";2002
21821;"Compuerta la 24 (Silva)";2002
21821;"La Veinticuatro (Silva)";2002
21832;"VIllarreal";2002
21833;"El Refugio (Silva el Ombligo)";2002
21840;"Pescaderos (Campo la Catorce)";2002
21850;"Naval San Felipe";2002
21850;"Real de San Felipe";2002
21850;"Plan Nacional Agrario";2002
21850;"Montaña y Mar";2002
21850;"Primera Seccion";2002
21850;"Segunda Seccion";2002
21850;"Ampliacion Segunda Seccion";2002
21850;"Los Gavilanes Seccion 3";2002
21850;"Los Arcos";2002
21850;"Sterling (Francisco Villa)";2002
21850;"Casimiro Alonso";2002
21850;"Recinto Portuario";2002
21850;"Club de Pesca";2002
21850;"Ampliacion Poniente";2002
21850;"La Curva";2002
21903;"La Curva";2002
21921;"Villa Hermosa";2002
21921;"Familia Mascareño";2002
21951;"La 27 (Campamento SARH Km. 27)";2002
21960;"Ciudad Morelos";2002
21960;"27 de Enero";2002
21963;"Jose Maria Rodriguez";2002
21963;"Cuervitos";2002
21963;"Oribe Alba";2002
21964;"Leyes de Reforma";2002
21964;"Granados (Recursos Hidraulicos)";2002
21966;"alamo";2002
21970;"Del Valle";2002
21970;"Dieguinos";2002
21970;"Francisco Santana Peralta";2002
21980;"5 de Mayo";2002
22000;"Zona Centro";2004
22000;"Zona Este";2004
22000;"Zona Norte";2004
22010;"Empleados Federales";2004
22010;"Cuauhtemoc";2004
22010;"Zona Urbana Rio Tijuana";2004
22014;"Escolar Agua Caliente";2004
22014;"Agua Caliente Seccion Pinos";2004
22014;"Aviacion";2004
22015;"Marron";2004
22015;"Revolucion";2004
22015;"Plan de Barranquitas";2004
22020;"Chapultepec";2004
22020;"Hipodromo";2004
22020;"Neidhart";2004
22020;"Rincon Colonial Chapultepec";2004
22020;"Chapultepec Este";2004
22020;"Chapultepec 8a Seccion";2004
22024;"Hipodromo Agua Caliente";2004
22024;"Lomas de Agua Caliente";2004
22024;"Agua Caliente";2004
22024;"Puerta de Hierro";2004
22025;"Lomas de Agua Caliente 1a Seccion";2004
22025;"Rancho el Grande";2004
22025;"Jardines de Chapultepec";2004
22025;"Privada Catalana";2004
22025;"San Jeronimo";2004
22030;"Burocrata Hipodromo";2004
22030;"Colinas de Agua Caliente";2004
22030;"Lomas Hipodromo";2004
22030;"Lopez Mateos";2004
22030;"Hacienda las Palomas";2004
22030;"La Remosa";2004
22030;"Hacienda Agua Caliente";2004
22034;"El Bosque";2004
22034;"Herradura";2004
22034;"Villa Lomas";2004
22034;"Lomas de Agua Caliente 5a Seccion";2004
22034;"Lomas de Agua Caliente 6a Seccion (Lomas Altas)";2004
22034;"Jardines de Chapultepec S-E";2004
22034;"Planetario";2004
22034;"Cañon Oasis";2004
22034;"Pueblo Bonito";2004
22035;"Cañon de La Pedrera";2004
22035;"Herradura Sur";2004
22035;"Cañon de La Pedrera Este";2004
22035;"Cañon Primavera";2004
22040;"Juarez";2004
22040;"Madero (Cacho)";2004
22044;"America";2004
22044;"Davila";2004
22044;"Calete";2004
22044;"Gabilondo";2004
22045;"Cubillas";2004
22045;"Cubillas Sur";2004
22045;"Chula Vista";2004
22045;"Lomas Doctores (Chapultepec Doctores)";2004
22046;"Madero Sur";2004
22046;"Guadalajara";2004
22046;"Monterrey";2004
22046;"Fundadores";2004
22046;"Cumbres de Juarez";2004
22046;"Laderas de Monterrey";2004
22050;"Castillo";2004
22050;"Aleman";2004
22054;"Altamira";2004
22054;"Roma";2004
22054;"Linda Vista";2004
22055;"Altamira Sur";2004
22055;"Azcona";2004
22055;"Independencia";2004
22055;"Guerrero";2004
22056;"Hidalgo";2004
22056;"Mexico";2004
22056;"Morelos";2004
22100;"Anexa 20 de Noviembre";2004
22100;"20 de Noviembre";2004
22104;"Los Españoles";2004
22104;"El Pedregal";2004
22104;"Alfonso Corona del Rosal";2004
22104;"El Pedregal Oeste";2004
22104;"Los Santos";2004
22104;"San Jose del Alto";2004
22105;"El Prado";2004
22105;"Ceceña";2004
22105;"Dimenstein";2004
22105;"Jose Sandoval";2004
22105;"La Mesa";2004
22105;"Lopez";2004
22105;"Los angeles";2004
22105;"Santa Cruz";2004
22105;"Las Lilas";2004
22105;"Moreno";2004
22105;"El Prado Este";2004
22105;"La Mesa Sur";2004
22105;"Lopez Oeste";2004
22106;"Santa Rosa";2004
22106;"Cortez";2004
22106;"Alcala";2004
22106;"Alicia Carrillo";2004
22106;"Angelica";2004
22106;"El Paraiso";2004
22106;"Geronimo Meza";2004
22106;"La Escondida";2004
22106;"Las Palmas";2004
22106;"Lopez Lucio";2004
22106;"Luz Juarez";2004
22106;"Reynoso";2004
22106;"Jardines de San Carlos";2004
22106;"Camichin";2004
22106;"Contreras";2004
22106;"Gertrudis Green";2004
22106;"Guillen";2004
22106;"Leos Montoya";2004
22106;"Magaña";2004
22106;"Sonoita";2004
22106;"Contreras Oeste";2004
22106;"Geronimo Meza Este";2004
22106;"Quinta Alta";2004
22106;"Reynoso Parcela 162";2004
22110;"Los Pirules";2004
22110;"Chapultepec Alamar";2004
22110;"Los alamos";2004
22114;"Chihuahua La Mesa";2004
22114;"Fortin de las Flores";2004
22114;"Santa Elena";2004
22114;"Yamille";2004
22114;"San Antonio";2004
22114;"Fortin de las Flores Oeste";2004
22114;"INFONAVIT La Mesa";2004
22114;"La Cienega Poniente";2004
22114;"San Antonio Oeste";2004
22114;"Vaim";2004
22114;"Rio Tijuana 2a. Etapa";2004
22115;"Moreno 2da. Seccion";2004
22115;"Las Brisas";2004
22115;"Benton";2004
22115;"Las Vegas";2004
22115;"Ramirez";2004
22115;"Castro";2004
22115;"Las Huertas 3a Seccion";2004
22115;"La Joya";2004
22115;"Gas y Anexas";2004
22115;"La Joya Este";2004
22115;"Las Brisas Norte";2004
22116;"Jalisco";2004
22116;"Balcon Las Huertas";2004
22116;"Huertas 1a. Seccion";2004
22116;"Huertas 2a. Seccion";2004
22116;"Ramos";2004
22116;"Maurilio Magallon";2004
22116;"Plan de Iguala";2004
22116;"Cañon el Salado";2004
22116;"Rubio";2004
22116;"Urias";2004
22116;"El Valle";2004
22116;"Lomas Conjunto Residencial";2004
22116;"Pinos del Agüero";2004
22116;"Ramos Sur";2004
22117;"Anexa Durango";2004
22117;"Chapultepec California";2004
22117;"Durango";2004
22117;"La Esmeralda";2004
22117;"Las Fuentes";2004
22117;"Las Huertas 4a Seccion";2004
22117;"Los arboles";2004
22117;"Santa Fe";2004
22117;"Veracruz";2004
22117;"Anexa Veracruz";2004
22117;"La Villa";2004
22117;"Emperadores";2004
22117;"Guanajuato";2004
22117;"Anexa Santa Fe";2004
22120;"Arboledas de La Mesa";2004
22120;"Constitucion del 17";2004
22120;"18 de Marzo";2004
22120;"La Cienega";2004
22120;"Zermeño (Merida)";2004
22120;"Niños Heroes (La Mesa)";2004
22120;"Arboledas";2004
22120;"La Cienega Sur";2004
22120;"Niños Heroes Este";2004
22120;"Vivienda Magisterial 37";2004
22120;"Division del Norte";2004
22123;"Los Venados";2004
22123;"Los Venados Oeste";2004
22123;"Jardines de Las Arboledas";2004
22123;"El Olivar";2004
22123;"Villa de Alcazar";2004
22124;"Tona";2004
22124;"Presa Rodriguez";2004
22124;"Terrazas de La Presa";2004
22125;"Los Reyes";2004
22125;"Los Naranjos";2004
22126;"Cañon Palmas";2004
22126;"Colinas de La Mesa";2004
22126;"Mexico Lindo";2004
22126;"3 de Octubre";2004
22126;"El Ranchito";2004
22126;"Villa Urrutia";2004
22127;"Castro Green";2004
22127;"Las Huertas 5a Seccion";2004
22127;"Luna Park";2004
22127;"Orizaba";2004
22127;"Baja California";2004
22127;"Pinos de Narez";2004
22127;"Villa Floresta";2004
22127;"Colinas de La Cruz";2004
22127;"INFONAVIT Lomas Verdes";2004
22127;"Loma Dorada Campos";2004
22127;"Martinez";2004
